Player,Club,Market Value
,CD Santa Clara,350000
Franco Israel,Sporting CP,5000000
Diogo Pinto,Sporting CP,500000
Gonçalo Inácio,Sporting CP,45000000
Ousmane Diomande,Sporting CP,40000000
Eduardo Quaresma,Sporting CP,14000000
Jerry St. Juste,Sporting CP,8000000
Matheus Reis,Sporting CP,8000000
Iván Fresneda,Sporting CP,9000000
Ricardo Esgaio,Sporting CP,3000000
Morten Hjulmand,Sporting CP,40000000
Hidemasa Morita,Sporting CP,15000000
Daniel Bragança,Sporting CP,12000000
Nuno Santos,Vitória Guimarães SC,1500000
Pedro Gonçalves,Sporting CP,32000000
Trincão,Sporting CP,23000000
Marcus Edwards,Sporting CP,18000000
Geny Catamo,Sporting CP,15000000
Viktor Gyökeres,Sporting CP,70000000
Diogo Costa,FC Porto,45000000
Cláudio Ramos,FC Porto,1500000
Samuel Portugal,FC Porto,1500000
Otávio,FC Porto,12000000
Zé Pedro,FC Porto,3000000
Iván Marcano,FC Porto,250000
Wendell,FC Porto,5000000
Zaidu,FC Porto,3000000
João Mário,FC Porto,15000000
Martim Fernandes,FC Porto,6000000
Alan Varela,FC Porto,35000000
Marko Grujić,FC Porto,6000000
Nico González,FC Porto,15000000
Stephen Eustaquio,FC Porto,11000000
Iván Jaime,FC Porto,8000000
André Franco,FC Porto,3000000
Pepê,FC Porto,30000000
Galeno,FC Porto,27000000
Gonçalo Borges,FC Porto,4000000
Danny Namaso,FC Porto,5000000
Anatoliy Trubin,SL Benfica,25000000
Samuel Soares,SL Benfica,3000000
André Gomes,SL Benfica,2000000
António Silva,SL Benfica,40000000
Tomás Araújo,SL Benfica,15000000
Nicolás Otamendi,SL Benfica,1000000
Alexander Bah,SL Benfica,13000000
Florentino,SL Benfica,20000000
Orkun Kökçü,SL Benfica,28000000
Fredrik Aursnes,SL Benfica,20000000
Gianluca Prestianni,SL Benfica,10000000
Tiago Gouveia,SL Benfica,5000000
Ángel Di María,SL Benfica,3000000
Arthur Cabral,SL Benfica,14000000
Matheus,SC Braga,6000000
Lukas Hornicek,SC Braga,2000000
Tiago Sá,SC Braga,800000
Sikou Niakaté,SC Braga,6000000
Paulo Oliveira,SC Braga,1500000
Adrián Marín,SC Braga,2000000
Víctor Gómez,SC Braga,8000000
Vítor Carvalho,SC Braga,5000000
Rodrigo Zalazar,SC Braga,16000000
João Moutinho,SC Braga,800000
Ricardo Horta,SC Braga,15000000
Bruma,SC Braga,7000000
Roger,SC Braga,10000000
Ivan Zlobin,FC Famalicão,700000
Hugo Cunha,FC Famalicão,100000
Enea Mihaj,FC Famalicão,3000000
Riccieli,FC Famalicão,2000000
Justin de Haas,FC Famalicão,1500000
Mirko Topić,FC Famalicão,5000000
Zaydou Youssouf,FC Famalicão,7000000
Gustavo Sá,FC Famalicão,8000000
Otso Liimatta,FC Famalicão,1000000
Óscar Aranda,FC Famalicão,1500000
Leonardo Oliveira,FC Famalicão,0
Bruno Varela,Vitória Guimarães SC,4000000
Charles,Vitória Guimarães SC,300000
Toni Borevković,Vitória Guimarães SC,4000000
Tomás Ribeiro,Vitória Guimarães SC,3000000
Jorge Fernandes,Vitória Guimarães SC,2500000
Mikel Villanueva,Vitória Guimarães SC,1500000
Zé Carlos,Gil Vicente FC,700000
Maga,Vitória Guimarães SC,1500000
Bruno Gaspar,Vitória Guimarães SC,800000
Tomás Händel,Vitória Guimarães SC,10000000
Manu,Vitória Guimarães SC,1500000
Tiago Silva,Vitória Guimarães SC,3000000
João Mendes,Vitória Guimarães SC,2000000
Telmo Arcanjo,Vitória Guimarães SC,800000
Nélson Oliveira,Vitória Guimarães SC,500000
Bica,Vitória Guimarães SC,350000
João Valido,FC Arouca,200000
Thiago Silva,FC Arouca,200000
Matías Rocha,FC Arouca,500000
Nino Galović,FC Arouca,500000
Quaresma,FC Arouca,1500000
Weverson,FC Arouca,1500000
Eboue Kouassi,FC Arouca,1000000
Uri Busquets,FC Arouca,400000
Pedro Santos,FC Arouca,1500000
Vitinho,FC Arouca,300000
David Simão,FC Arouca,200000
Pedro Moreira,FC Arouca,100000
Morlaye Sylla,FC Arouca,3000000
Miguel Puche,FC Arouca,400000
Jason,FC Arouca,2500000
Alfonso Trezza,FC Arouca,700000
Vladislav Morozov,FC Arouca,500000
Jhonatan,Rio Ave FC,800000
Patrick William,Rio Ave FC,800000
Renato Pantalon,Rio Ave FC,800000
Aderllan Santos,Rio Ave FC,200000
Amine,Rio Ave FC,400000
Vítor Gomes,Rio Ave FC,100000
João Graça,Rio Ave FC,500000
Tim Sousa,Rio Ave FC,0
Fábio Ronaldo,Rio Ave FC,1500000
Kewin,Moreirense FC,1500000
Caio Secco,Moreirense FC,200000
Mika,Moreirense FC,100000
Maracás,Moreirense FC,1000000
Ponck,Moreirense FC,800000
Gilberto Batista,Moreirense FC,200000
Marcelo,Moreirense FC,100000
Godfried Frimpong,Moreirense FC,1500000
